Afghanistan,Kabul
Albania,Tirana
Algeria,Algiers
Andorra,AndorralaVella
Angola,Luanda
AntiguaandBarbuda,SaintJohn's
Argentina,BuenosAires
Armenia,Yerevan
Australia,Canberra
Austria,Vienna
Azerbaijan,Baku
Bahamas,Nassau
Bahrain,Manama
Bangladesh,Dhaka
Barbados,Bridgetown
Belarus,Minsk
Belgium,Brussels
Belize,Belmopan
Benin,Porto,Novo
Bhutan,Thimphu
Bolivia,Sucre
BosniaandHerzegovina,Sarajevo
Botswana,Gaborone
Brazil,Brasília
Brunei,BandarSeriBegawan
Bulgaria,Sofia
BurkinaFaso,Ouagadougou
Burundi,Gitega
CaboVerde,Praia
Cambodia,PhnomPenh
Cameroon,Yaoundé
Canada,Ottawa
CentralAfricanRepublic,Bangui
Chad,N'Djamena
Chile,Santiago
China,Beijing
Colombia,Bogotá
Comoros,Moroni
Congo,Brazzaville
CostaRica,SanJosé
Côted'Ivoire,Yamoussoukro
Croatia,Zagreb
Cuba,Havana
Cyprus,Nicosia
CzechRepublic,Prague
Denmark,Copenhagen
Djibouti,DjiboutiCity
Dominica,Roseau
DominicanRepublic,SantoDomingo
Ecuador,Quito
Egypt,Cairo
ElSalvador,SanSalvador
EquatorialGuinea,Malabo
Eritrea,Asmara
Estonia,Tallinn
Eswatini,Mbabane
Ethiopia,AddisAbaba
Fiji,Suva
Finland,Helsinki
France,Paris
Gabon,Libreville
Gambia,Banjul
Georgia,Tbilisi
Germany,Berlin
Ghana,Accra
Greece,Athens
Grenada,SaintGeorge's
Guatemala,GuatemalaCity
Guinea,Conakry
Guinea,Bissau,Bissau
Guyana,Georgetown
Haiti,Port,au,Prince
Honduras,Tegucigalpa
Hungary,Budapest
Iceland,Reykjavik
India,NewDelhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
Israel,Jerusalem
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Jordan,Amman
Kazakhstan,Nur,Sultan
Kenya,Nairobi
Kiribati,SouthTarawa
Korea,North,Pyongyang
Korea,South,Seoul
Kosovo,Pristina
Kuwait,KuwaitCity
Kyrgyzstan,Bishkek
Laos,Vientiane
Latvia,Riga
Lebanon,Beirut
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,LuxembourgCity
Madagascar,Antananarivo
Malawi,Lilongwe
Malaysia,KualaLumpur
Maldives,Malé
Mali,Bamako
Malta,Valletta
MarshallIslands,Majuro
Mauritania,Nouakchott
Mauritius,PortLouis
Mexico,MexicoCity
Micronesia,Palikir
Moldova,Chișinău
Monaco,Monaco
Mongolia,Ulaanbaatar
Montenegro,Podgorica
Morocco,Rabat
Mozambique,Maputo
Myanmar,Naypyidaw
Namibia,Windhoek
Nauru,YarenDistrict(defacto)
Nepal,Kathmandu
Netherlands,Amsterdam
NewZealand,Wellington
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
NorthMacedonia,Skopje
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Palau,Ngerulmud
Panama,PanamaCity
PapuaNewGuinea,PortMoresby
Paraguay,Asunción
Peru,Lima
Philippines,Manila
Poland,Warsaw
Portugal,Lisbon
Qatar,Doha
Romania,Bucharest
Russia,Moscow
Rwanda,Kigali
SaintKittsandNevis,Basseterre
SaintLucia,Castries
SaintVincentandtheGrenadines,Kingstown
Samoa,Apia
SanMarino,SanMarino
SaoTomeandPrincipe,SãoTomé
SaudiArabia,Riyadh
Senegal,Dakar
Serbia,Belgrade
Seychelles,Victoria
SierraLeone,Freetown
Singapore,Singapore
Slovakia,Bratislava
Slovenia,Ljubljana
SolomonIslands,Honiara
Somalia,Mogadishu
SouthAfrica,Pretoria
SouthSudan,Juba
Spain,Madrid
SriLanka,SriJayawardenepuraKotte
Sudan,Khartoum
Suriname,Paramaribo
Sweden,Stockholm
Switzerland,Bern
Syria,Damascus
Taiwan,Taipei
Tajikistan,Dushanbe
Tanzania,Dodoma
Thailand,Bangkok
Timor,Leste,Dili
Togo,Lomé
Tonga,Nukuʻalofa
TrinidadandTobago,PortofSpain
Tunisia,Tunis
Turkey,Ankara
Turkmenistan,Ashgabat
Tuvalu,Funafuti
Uganda,Kampala
Ukraine,Kyiv
UnitedArabEmirates,AbuDhabi
UnitedKingdom,London
UnitedStates,Washington D.C.
Uruguay,Montevideo
Uzbekistan,Tashkent
Vanuatu,PortVila
VaticanCity,VaticanCity
Venezuela,Caracas
Vietnam,Hanoi
Yemen,Sana'a
Zambia,Lusaka
Zimbabwe,Harare
